district_cd,district,industry_cd,industry_nm,year,biz_count,emp_count,region,item_category
001013,하남시,003,Mining ＆ quarrying,2022,0,0,경기도,
001013,하남시,004,Manufacturing,2022,2882,12331,경기도,IT장비/전산
001013,하남시,005,Electricity gas steam and water supply,2022,41,373,경기도,시설유지보수
001013,하남시,006,Sewerage waste managementmaterials recovery and remediation activities,2022,54,574,경기도,폐기물/환경
001013,하남시,007,Construction,2022,1894,8791,경기도,건설/공사
001013,하남시,008,Wholesale and retail trade,2022,11320,32980,경기도,사무용품/소모품
001013,하남시,009,Transportation,2022,2925,5836,경기도,차량/운송
001013,하남시,010,Accommodation and food service activities,2022,3365,10445,경기도,
001013,하남시,011,Information and communications,2022,1244,3720,경기도,IT장비/전산
001013,하남시,012,Financial and insurance activities,2022,160,953,경기도,
001013,하남시,013,Real estate activites and renting and leasing,2022,2637,5100,경기도,
001013,하남시,014,Professional scientific and technical activities,2022,1704,5159,경기도,전문용역/컨설팅
001013,하남시,015,Business facilities managementand business support services,2022,815,4578,경기도,시설유지보수
001013,하남시,016,Public administration ; compulsory social security,2022,37,2673,경기도,
001013,하남시,017,Education,2022,1532,7618,경기도,교육물품/교구
001013,하남시,018,Human health and social work activities,2022,906,9764,경기도,의료/복지용품
001013,하남시,019,Arts sports and recreation related services,2022,743,2335,경기도,
001013,하남시,020,Membership organizations repair and other personal services,2022,2183,4240,경기도,
001014,용인시,002,Agriculture forestry and fishing,2022,133,550,경기도,
001014,용인시,003,Mining ＆ quarrying,2022,13,251,경기도,
001014,용인시,004,Manufacturing,2022,6915,61621,경기도,IT장비/전산
001014,용인시,005,Electricity gas steam and water supply,2022,152,421,경기도,시설유지보수
001014,용인시,006,Sewerage waste managementmaterials recovery and remediation activities,2022,170,2336,경기도,폐기물/환경
001014,용인시,007,Construction,2022,7096,29006,경기도,건설/공사
001014,용인시,008,Wholesale and retail trade,2022,25741,63001,경기도,사무용품/소모품
001014,용인시,009,Transportation,2022,12456,27488,경기도,차량/운송
001014,용인시,010,Accommodation and food service activities,2022,10693,33270,경기도,
001014,용인시,011,Information and communications,2022,3222,10929,경기도,IT장비/전산
001014,용인시,012,Financial and insurance activities,2022,553,4210,경기도,
001014,용인시,013,Real estate activites and renting and leasing,2022,7752,17015,경기도,
001014,용인시,014,Professional scientific and technical activities,2022,5021,44526,경기도,전문용역/컨설팅
001014,용인시,015,Business facilities managementand business support services,2022,2321,17607,경기도,시설유지보수
001014,용인시,016,Public administration ; compulsory social security,2022,109,6834,경기도,
001014,용인시,017,Education,2022,5854,38847,경기도,교육물품/교구
001014,용인시,018,Human health and social work activities,2022,2718,36515,경기도,의료/복지용품
001014,용인시,019,Arts sports and recreation related services,2022,2470,11894,경기도,
001014,용인시,020,Membership organizations repair and other personal services,2022,6842,14118,경기도,
001015,이천시,002,Agriculture forestry and fishing,2022,126,879,경기도,
001015,이천시,003,Mining ＆ quarrying,2022,2,26,경기도,
001015,이천시,004,Manufacturing,2022,2750,46896,경기도,IT장비/전산
001015,이천시,005,Electricity gas steam and water supply,2022,488,576,경기도,시설유지보수
001015,이천시,006,Sewerage waste managementmaterials recovery and remediation activities,2022,87,939,경기도,폐기물/환경
001015,이천시,007,Construction,2022,3502,10158,경기도,건설/공사
001015,이천시,008,Wholesale and retail trade,2022,5916,15074,경기도,사무용품/소모품
001015,이천시,009,Transportation,2022,5118,14569,경기도,차량/운송
001015,이천시,010,Accommodation and food service activities,2022,3775,10281,경기도,
001015,이천시,011,Information and communications,2022,175,734,경기도,IT장비/전산
001015,이천시,012,Financial and insurance activities,2022,188,1888,경기도,
001015,이천시,013,Real estate activites and renting and leasing,2022,1450,2599,경기도,
001015,이천시,014,Professional scientific and technical activities,2022,576,3424,경기도,전문용역/컨설팅
001015,이천시,015,Business facilities managementand business support services,2022,761,9318,경기도,시설유지보수
001015,이천시,016,Public administration ; compulsory social security,2022,68,2829,경기도,
001015,이천시,017,Education,2022,1016,7071,경기도,교육물품/교구
001015,이천시,018,Human health and social work activities,2022,622,8501,경기도,의료/복지용품
001015,이천시,019,Arts sports and recreation related services,2022,629,3121,경기도,
001015,이천시,020,Membership organizations repair and other personal services,2022,2173,3661,경기도,
001016,안성시,002,Agriculture forestry and fishing,2022,165,987,경기도,
001016,안성시,003,Mining ＆ quarrying,2022,7,41,경기도,
001016,안성시,004,Manufacturing,2022,3912,43085,경기도,IT장비/전산
001016,안성시,005,Electricity gas steam and water supply,2022,730,906,경기도,시설유지보수
001016,안성시,006,Sewerage waste managementmaterials recovery and remediation activities,2022,132,786,경기도,폐기물/환경
001016,안성시,007,Construction,2022,1923,6082,경기도,건설/공사
001016,안성시,008,Wholesale and retail trade,2022,5670,13744,경기도,사무용품/소모품
001016,안성시,009,Transportation,2022,4263,8131,경기도,차량/운송
001016,안성시,010,Accommodation and food service activities,2022,3479,8445,경기도,
001016,안성시,011,Information and communications,2022,156,444,경기도,IT장비/전산
001016,안성시,012,Financial and insurance activities,2022,125,1422,경기도,
001016,안성시,013,Real estate activites and renting and leasing,2022,1087,1862,경기도,
001016,안성시,014,Professional scientific and technical activities,2022,542,2524,경기도,전문용역/컨설팅
001016,안성시,015,Business facilities managementand business support services,2022,647,5152,경기도,시설유지보수
001016,안성시,016,Public administration ; compulsory social security,2022,58,2408,경기도,
001016,안성시,017,Education,2022,849,7188,경기도,교육물품/교구
001016,안성시,018,Human health and social work activities,2022,612,7499,경기도,의료/복지용품
001016,안성시,019,Arts sports and recreation related services,2022,573,2611,경기도,
001016,안성시,020,Membership organizations repair and other personal services,2022,1897,3680,경기도,
001017,김포시,002,Agriculture forestry and fishing,2022,81,312,경기도,
001017,김포시,003,Mining ＆ quarrying,2022,5,37,경기도,
001017,김포시,004,Manufacturing,2022,13945,81327,경기도,IT장비/전산
001017,김포시,005,Electricity gas steam and water supply,2022,321,549,경기도,시설유지보수
001017,김포시,006,Sewerage waste managementmaterials recovery and remediation activities,2022,211,1279,경기도,폐기물/환경
001017,김포시,007,Construction,2022,3379,9371,경기도,건설/공사
001017,김포시,008,Wholesale and retail trade,2022,16117,34698,경기도,사무용품/소모품
001017,김포시,009,Transportation,2022,5567,12450,경기도,차량/운송
001017,김포시,010,Accommodation and food service activities,2022,5939,16078,경기도,
001017,김포시,011,Information and communications,2022,1654,3102,경기도,IT장비/전산
001017,김포시,012,Financial and insurance activities,2022,300,2145,경기도,
001017,김포시,013,Real estate activites and renting and leasing,2022,4091,7697,경기도,
001017,김포시,014,Professional scientific and technical activities,2022,2290,5127,경기도,전문용역/컨설팅
001017,김포시,015,Business facilities managementand business support services,2022,1300,3764,경기도,시설유지보수
001017,김포시,016,Public administration ; compulsory social security,2022,54,3217,경기도,
001017,김포시,017,Education,2022,2797,14116,경기도,교육물품/교구
001017,김포시,018,Human health and social work activities,2022,1349,16162,경기도,의료/복지용품
001017,김포시,019,Arts sports and recreation related services,2022,1238,3025,경기도,
001017,김포시,020,Membership organizations repair and other personal services,2022,3593,6883,경기도,
001019,화성시,002,Agriculture forestry and fishing,2022,162,599,경기도,
001019,화성시,003,Mining ＆ quarrying,2022,13,158,경기도,
001019,화성시,004,Manufacturing,2022,28590,268035,경기도,IT장비/전산
001019,화성시,005,Electricity gas steam and water supply,2022,657,972,경기도,시설유지보수
001019,화성시,006,Sewerage waste managementmaterials recovery and remediation activities,2022,516,3871,경기도,폐기물/환경
001019,화성시,007,Construction,2022,7130,30829,경기도,건설/공사
001019,화성시,008,Wholesale and retail trade,2022,25599,59039,경기도,사무용품/소모품
001019,화성시,009,Transportation,2022,8996,23099,경기도,차량/운송
001019,화성시,010,Accommodation and food service activities,2022,11953,32608,경기도,
001019,화성시,011,Information and communications,2022,2051,5145,경기도,IT장비/전산
001019,화성시,012,Financial and insurance activities,2022,480,3804,경기도,
001019,화성시,013,Real estate activites and renting and leasing,2022,7607,15209,경기도,
001019,화성시,014,Professional scientific and technical activities,2022,3870,49232,경기도,전문용역/컨설팅
001019,화성시,015,Business facilities managementand business support services,2022,2532,18543,경기도,시설유지보수
001019,화성시,016,Public administration ; compulsory social security,2022,88,5905,경기도,
001019,화성시,017,Education,2022,5395,29273,경기도,교육물품/교구
001019,화성시,018,Human health and social work activities,2022,2367,26320,경기도,의료/복지용품
001019,화성시,019,Arts sports and recreation related services,2022,2210,6469,경기도,
001019,화성시,020,Membership organizations repair and other personal services,2022,6239,11532,경기도,
001021,광주시,002,Agriculture forestry and fishing,2022,58,278,경기도,
001021,광주시,003,Mining ＆ quarrying,2022,5,62,경기도,
001021,광주시,004,Manufacturing,2022,8591,47415,경기도,IT장비/전산
001021,광주시,005,Electricity gas steam and water supply,2022,155,291,경기도,시설유지보수
001021,광주시,006,Sewerage waste managementmaterials recovery and remediation activities,2022,82,811,경기도,폐기물/환경
001021,광주시,007,Construction,2022,4301,11832,경기도,건설/공사
001021,광주시,008,Wholesale and retail trade,2022,12426,30551,경기도,사무용품/소모품
001021,광주시,009,Transportation,2022,6280,13148,경기도,차량/운송
001021,광주시,010,Accommodation and food service activities,2022,4501,11790,경기도,
001021,광주시,011,Information and communications,2022,581,1073,경기도,IT장비/전산
001021,광주시,012,Financial and insurance activities,2022,155,1509,경기도,
001021,광주시,013,Real estate activites and renting and leasing,2022,2673,4200,경기도,
001021,광주시,014,Professional scientific and technical activities,2022,1276,3688,경기도,전문용역/컨설팅
001021,광주시,015,Business facilities managementand business support services,2022,1135,3009,경기도,시설유지보수
001021,광주시,016,Public administration ; compulsory social security,2022,47,3090,경기도,
001021,광주시,017,Education,2022,1476,8317,경기도,교육물품/교구
001021,광주시,018,Human health and social work activities,2022,937,11938,경기도,의료/복지용품
001021,광주시,019,Arts sports and recreation related services,2022,990,3185,경기도,
001021,광주시,020,Membership organizations repair and other personal services,2022,3057,5678,경기도,
001023,양평군,002,Agriculture forestry and fishing,2022,82,298,경기도,
001023,양평군,003,Mining ＆ quarrying,2022,1,1,경기도,
001023,양평군,004,Manufacturing,2022,741,2293,경기도,IT장비/전산
001023,양평군,005,Electricity gas steam and water supply,2022,264,332,경기도,시설유지보수
001023,양평군,006,Sewerage waste managementmaterials recovery and remediation activities,2022,37,286,경기도,폐기물/환경
001023,양평군,007,Construction,2022,1886,4774,경기도,건설/공사
001023,양평군,008,Wholesale and retail trade,2022,2816,5628,경기도,사무용품/소모품
001023,양평군,009,Transportation,2022,831,1572,경기도,차량/운송
001023,양평군,010,Accommodation and food service activities,2022,2654,5961,경기도,
001023,양평군,011,Information and communications,2022,250,521,경기도,IT장비/전산
001023,양평군,012,Financial and insurance activities,2022,70,689,경기도,
