city,district,district_profile,item_category,bid_count,amount_sum,amount_mean,latest_posted_date,count_score,amount_score,recency_score,competition_score,opportunity_score,recommendation_flag,avg_lead_time_days
전라북도,장수군,전국 주요 지역,폐기물/환경,50,53592317490.0,1071846349.8,2026-05-15 17:29:36,0.07227138643067847,0.004428661781217376,1.0,0.94,36.8,제외,7.9
경상북도,경상북도,전국 주요 지역,전문용역/컨설팅,83,11776204124.0,141881977.39759037,2026-05-07 15:34:30,0.12094395280235988,0.0009731399494247408,0.7894736842105263,1.0,36.7,추천,13.5
전라북도,전주시,전국 주요 지역,전문용역/컨설팅,36,6777971900.0,188276997.2222222,2026-05-14 16:24:11,0.051622418879056046,0.000560105375426177,0.9677419354838709,1.0,36.6,추천,7.6
전라남도,해남군,전국 주요 지역,건설/공사,35,3151183600.0,90033817.14285715,2026-05-14 17:11:25,0.05014749262536873,0.00026040162151082566,0.9677419354838709,1.0,36.53,제외,4.8
경상북도,경상북도,전국 주요 지역,차량/운송,129,15244982325.0,118178157.55813953,2026-04-24 08:46:01,0.1887905604719764,0.0012597863600628911,0.5882352941176471,1.0,36.41,추천,6.3
전라북도,순창군,전국 주요 지역,IT장비/전산,23,3227523160.0,140327093.91304347,2026-05-15 22:48:05,0.032448377581120944,0.00026671002740930234,1.0,1.0,36.3,추천,9.5
제주특별자치도,서귀포시,전국 주요 지역,건설/공사,79,38029654597.0,481388032.87341774,2026-05-06 11:12:50,0.11504424778761062,0.003142623528046867,0.7692307692307692,1.0,36.22,제외,11.7
전라북도,장수군,전국 주요 지역,전문용역/컨설팅,21,5350606000.0,254790761.9047619,2026-05-15 11:24:17,0.029498525073746312,0.0004421533795953854,1.0,1.0,36.19,추천,17.1
제주특별자치도,제주특별자치도,전국 주요 지역,시설유지보수,43,37972443000.0,883080069.7674419,2026-05-14 16:49:12,0.061946902654867256,0.0031378957830090898,0.9677419354838709,0.953,36.13,추천,11.3
경상남도,거제시,전국 주요 지역,건설/공사,72,4066040000.0,56472777.777777776,2026-05-07 14:05:11,0.10471976401179942,0.0003360018150411413,0.7894736842105263,1.0,36.04,제외,5.5
전라북도,김제시,전국 주요 지역,행사/운영용역,66,10734902590.0,162650039.24242425,2026-05-08 15:06:46,0.09587020648967552,0.0008870908192073488,0.8108108108108107,1.0,36.02,추천,12.1
전라북도,남원시,전국 주요 지역,시설유지보수,90,45454686770.0,505052075.2222222,2026-05-06 15:59:14,0.13126843657817108,0.0037561994611087324,0.7692307692307692,0.956,36.0,추천,6.8
전라남도,화순군,전국 주요 지역,폐기물/환경,26,3763068500.0,144733403.84615386,2026-05-14 13:40:18,0.03687315634218289,0.0003109654224070951,0.9677419354838709,1.0,36.0,제외,5.4
경상북도,김천시,전국 주요 지역,행사/운영용역,26,95011420.0,3654285.3846153845,2026-05-14 17:14:46,0.03687315634218289,7.851376171812424e-06,0.9677419354838709,1.0,35.99,추천,9.2
전라북도,김제시,전국 주요 지역,건설/공사,39,28078430244.0,719959749.8461539,2026-05-12 14:38:47,0.05604719764011799,0.0023202928464771803,0.9090909090909091,1.0,35.94,제외,9.8
전라북도,완주군,전국 주요 지역,기타/미분류,32,17427128000.0,544597750.0,2026-05-13 18:15:04,0.045722713864306784,0.0014401104364330636,0.9375,1.0,35.93,제외,16.9
전라북도,임실군,전국 주요 지역,건설/공사,28,19365252000.0,691616142.8571428,2026-05-15 10:44:19,0.03982300884955752,0.0016002695056440887,1.0,0.964,35.91,제외,16.3
경상남도,창원시,전국 주요 지역,건설/공사,32,1043571971.0,32611624.09375,2026-05-13 13:49:25,0.045722713864306784,8.623675034728168e-05,0.9375,1.0,35.89,제외,3.1
경상북도,경상북도,전국 주요 지역,급수/전기/설비,45,7277639500.0,161725322.2222222,2026-05-11 15:26:07,0.06489675516224189,0.0006013959727929641,0.8823529411764706,1.0,35.85,추천,11.6
전라북도,전라북도,전국 주요 지역,급식/식자재,15,1414622260.0,94308150.66666667,2026-05-15 15:34:06,0.02064896755162242,0.00011689891072335768,1.0,1.0,35.83,추천,13.1
경상북도,포항시,전국 주요 지역,시설유지보수,30,787481342.0,26249378.066666666,2026-05-13 09:23:44,0.04277286135693215,6.507441152153784e-05,0.9375,1.0,35.78,추천,3.4
전라북도,임실군,전국 주요 지역,폐기물/환경,76,27495130900.0,361778038.15789473,2026-05-06 11:08:46,0.11061946902654868,0.002272091245337913,0.7692307692307692,0.987,35.76,제외,6.5
전라북도,순창군,전국 주요 지역,건설/공사,29,3827243200.0,131973903.44827586,2026-05-13 09:06:26,0.04129793510324484,0.00031626857133817314,0.9375,1.0,35.72,제외,8.4
전라북도,전주시,전국 주요 지역,청소/환경미화,43,2741756600.0,63761781.39534884,2026-05-11 11:34:11,0.061946902654867256,0.00022656815820823906,0.8823529411764706,1.0,35.72,추천,5.9
경상북도,봉화군,전국 주요 지역,폐기물/환경,21,1413452900.0,67307280.95238096,2026-05-14 17:52:21,0.029498525073746312,0.00011680227933693833,0.9677419354838709,1.0,35.7,제외,3.3
경상남도,창원시,전국 주요 지역,기타/미분류,28,2898925177.0,103533042.03571428,2026-05-13 14:07:38,0.03982300884955752,0.00023955596136301209,0.9375,1.0,35.66,제외,5.6
제주특별자치도,서귀포시,전국 주요 지역,행사/운영용역,41,9949846020.0,242679171.2195122,2026-05-11 10:02:09,0.058997050147492625,0.0008222167814630145,0.8823529411764706,1.0,35.62,추천,12.8
제주특별자치도,서귀포시,전국 주요 지역,청소/환경미화,11,667147770.0,60649797.27272727,2026-05-15 13:33:24,0.014749262536873156,5.5130510673935785e-05,1.0,1.0,35.59,추천,5.1
제주특별자치도,제주시,전국 주요 지역,급수/전기/설비,77,31641458699.0,410928035.0519481,2026-05-06 09:56:55,0.11209439528023599,0.0026147277334736766,0.7692307692307692,0.974,35.57,추천,7.5
경상북도,김천시,전국 주요 지역,기타/미분류,10,4400.0,440.0,2026-05-15 16:20:58,0.01327433628318584,3.635989774279204e-10,1.0,1.0,35.53,제외,11.2
전라남도,강진군,전국 주요 지역,건설/공사,18,1063583260.0,59087958.88888889,2026-05-14 09:38:35,0.025073746312684365,8.789040585123955e-05,0.9677419354838709,1.0,35.52,제외,2.8
전라북도,군산시,전국 주요 지역,급수/전기/설비,25,8299870794.0,331994831.76,2026-05-13 11:12:07,0.035398230088495575,0.0006858692121550596,0.9375,1.0,35.5,추천,9.0
전라북도,부안군,전국 주요 지역,기타/미분류,30,12126588641.0,404219621.3666667,2026-05-12 13:30:03,0.04277286135693215,0.0010020943703537807,0.9090909090909091,1.0,35.37,제외,13.8
경상북도,경상북도,전국 주요 지역,청소/환경미화,59,14161123870.0,240019048.6440678,2026-05-07 18:57:56,0.0855457227138643,0.0011702204905368442,0.7894736842105263,1.0,35.29,추천,6.9
전라남도,완도군,전국 주요 지역,건설/공사,14,1806123000.0,129008785.71428572,2026-05-14 09:44:00,0.019174041297935103,0.00014925101725205635,0.9677419354838709,1.0,35.29,제외,2.9
