district,district_profile,item_category,bid_count,amount_sum,amount_mean,latest_posted_date,count_score,amount_score,recency_score,opportunity_score,recommendation_flag,avg_lead_time_days,rank
동작구,대학/주거/공원,행사/운영용역,28,3907049000.0,139537464.2857143,2026-04-16 16:38:38,0.24770642201834864,0.01100625865451999,0.8333333333333334,29.38,추천,14.2,1
동작구,대학/주거/공원,폐기물/환경,14,18196674000.0,1299762428.5714285,2026-04-07 16:45:08,0.11926605504587157,0.05143202417245591,0.6666666666666666,20.84,제외,7.1,2
동작구,대학/주거/공원,시설유지보수,37,24164081431.0,653083281.918919,2025-07-16 13:23:42,0.3302752293577982,0.06831399368219424,0.0967741935483871,20.5,추천,16.2,3
동작구,대학/주거/공원,급수/전기/설비,10,9232657352.0,923265735.2,2024-11-01 17:25:07,0.08256880733944955,0.026072559868044708,0.052910052910052914,5.97,추천,11.3,4
동작구,대학/주거/공원,IT장비/전산,8,3538389680.0,442298710.0,2025-07-28 11:22:48,0.06422018348623854,0.009963310695681203,0.10067114093959731,5.52,데이터부족,17.6,5
마포구,홍대/관광/문화콘텐츠,전문용역/컨설팅,10,1596010000.0,159601000.0,2026-04-21 14:10:54,0.08256880733944955,0.004468261980933026,0.9677419354838709,23.62,추천,10.8,1
마포구,홍대/관광/문화콘텐츠,시설유지보수,22,4822277610.0,219194436.8181818,2026-04-07 09:37:23,0.1926605504587156,0.013595467061540217,0.6521739130434783,23.08,추천,14.6,2
마포구,홍대/관광/문화콘텐츠,청소/환경미화,15,3431276590.0,228751772.66666666,2026-04-14 17:07:50,0.12844036697247707,0.009660284642846257,0.7894736842105263,22.5,추천,6.1,3
마포구,홍대/관광/문화콘텐츠,행사/운영용역,5,862404400.0,172480880.0,2026-04-10 14:57:55,0.03669724770642202,0.0023928703616116864,0.7142857142857143,16.19,데이터부족,10.0,4
마포구,홍대/관광/문화콘텐츠,IT장비/전산,5,1640371120.0,328074224.0,2026-04-07 17:52:32,0.03669724770642202,0.00459376088207515,0.6666666666666666,15.31,데이터부족,14.8,5
서대문구,대학/의료/주거,폐기물/환경,33,13997312001.0,424160969.72727275,2026-04-06 17:24:52,0.29357798165137616,0.03955190670985597,0.6521739130434783,28.91,제외,4.0,1
서대문구,대학/의료/주거,시설유지보수,5,2422911800.0,484582360.0,2026-04-23 10:50:56,0.03669724770642202,0.00680759126866165,1.0,22.04,데이터부족,9.4,2
서대문구,대학/의료/주거,전문용역/컨설팅,1,268992000.0,268992000.0,2026-04-21 16:28:43,0.0,0.0007140893902541037,0.9677419354838709,19.38,데이터부족,5.0,3
서대문구,대학/의료/주거,사무용품/소모품,11,2060417000.0,187310636.36363637,2026-03-27 10:27:44,0.09174311926605505,0.00578208291653407,0.5263157894736842,15.29,추천,9.7,4
서대문구,대학/의료/주거,청소/환경미화,10,2451211920.0,245121192.0,2026-03-25 14:07:51,0.08256880733944955,0.006887653132793806,0.5172413793103449,14.68,추천,5.4,5
서초구,법조/교육/고소득,시설유지보수,18,22295967650.0,1238664869.4444444,2026-04-21 15:17:41,0.1559633027522936,0.06302904535979034,0.9677419354838709,29.04,추천,9.2,1
서초구,법조/교육/고소득,급수/전기/설비,13,55032478200.0,4233267553.8461537,2026-04-14 18:09:43,0.11009174311926606,0.15564158763222474,0.7894736842105263,25.96,추천,9.4,2
서초구,법조/교육/고소득,행사/운영용역,8,3517290000.0,439661250.0,2026-04-10 08:33:29,0.06422018348623854,0.009903619086126475,0.6976744186046512,17.46,데이터부족,11.2,3
서초구,법조/교육/고소득,전문용역/컨설팅,5,1528497000.0,305699400.0,2026-04-09 16:18:42,0.03669724770642202,0.004277265736636033,0.6976744186046512,15.92,데이터부족,12.0,4
서초구,법조/교육/고소득,기타/미분류,22,4856939000.0,220769954.54545453,2024-12-17 17:21:31,0.1926605504587156,0.013693525143866781,0.05758157389635316,11.2,제외,9.6,5
성동구,성수/브랜드/라이프스타일,폐기물/환경,17,77133369940.0,4537257055.294118,2026-04-17 08:52:03,0.14678899082568808,0.218165654374251,0.8333333333333334,30.55,제외,5.4,1
성동구,성수/브랜드/라이프스타일,방역/소독,2,223952680.0,111976340.0,2026-04-09 10:41:16,0.009174311926605505,0.0005866718415495518,0.6818181818181818,14.11,데이터부족,5.5,2
성동구,성수/브랜드/라이프스타일,행사/운영용역,15,4740278300.0,316018553.3333333,2025-10-15 17:44:33,0.12844036697247707,0.013363488624128981,0.136986301369863,9.56,추천,9.0,3
성동구,성수/브랜드/라이프스타일,시설유지보수,16,7204773540.0,450298346.25,2025-04-22 15:19:39,0.13761467889908258,0.020335617472318435,0.0759493670886076,9.01,추천,13.9,4
성동구,성수/브랜드/라이프스타일,건설/공사,4,2326284400.0,581571100.0,2025-10-20 15:49:57,0.027522935779816515,0.006534229538384767,0.14018691588785046,4.38,제외,7.5,5
성북구,대학/문화/주거,폐기물/환경,26,136057135000.0,5232966730.769231,2024-12-24 16:23:22,0.22935779816513763,0.38486270273972634,0.058365758754863814,24.18,제외,6.5,1
성북구,대학/문화/주거,전문용역/컨설팅,3,349755000.0,116585000.0,2026-04-15 18:00:17,0.01834862385321101,0.0009425702706498494,0.8108108108108107,17.16,데이터부족,12.7,2
성북구,대학/문화/주거,보험/금융,1,45003260.0,45003260.0,2026-04-16 11:13:28,0.0,8.041871786781536e-05,0.8333333333333334,16.67,데이터부족,5.0,3
성북구,대학/문화/주거,행사/운영용역,4,1695661000.0,423915250.0,2026-04-06 15:37:41,0.027522935779816515,0.004750177563716187,0.6521739130434783,14.56,데이터부족,7.8,4
성북구,대학/문화/주거,시설유지보수,8,2931052000.0,366381500.0,2025-10-27 18:42:26,0.06422018348623854,0.008245134701427525,0.14492753623188406,6.36,데이터부족,10.4,5
송파구,가족주거/대형상권/복합문화,시설유지보수,35,14079656000.0,402275885.71428573,2026-04-20 16:30:10,0.3119266055045872,0.039784860282492285,0.9375,35.54,추천,83236.7,1
송파구,가족주거/대형상권/복합문화,폐기물/환경,13,3693303000.0,284100230.7692308,2024-12-13 17:25:43,0.11009174311926606,0.010401564992062316,0.05714285714285714,6.96,제외,6.3,2
송파구,가족주거/대형상권/복합문화,행사/운영용역,12,3323900000.0,276991666.6666667,2024-12-09 20:23:45,0.10091743119266056,0.009356513140833043,0.05671077504725898,6.46,추천,10.1,3
