district,district_profile,item_category,bid_count,amount_sum,amount_mean,latest_posted_date,count_score,amount_score,recency_score,opportunity_score,recommendation_flag,avg_lead_time_days
영등포구,오피스/금융/교통,행사/운영용역,14,3591408000.0,256529142.85714287,2025-10-20 17:40:24,0.11926605504587157,0.010113301067890053,0.14018691588785046,9.07,추천,10.0
강서구,공항/산업단지/주거,청소/환경미화,9,1484733170.0,164970352.2222222,2026-01-28 10:53:48,0.07339449541284404,0.0041534565863086586,0.2631578947368421,9.06,데이터부족,5.8
성동구,성수/브랜드/라이프스타일,시설유지보수,16,7204773540.0,450298346.25,2025-04-22 15:19:39,0.13761467889908258,0.020335617472318435,0.0759493670886076,9.01,추천,13.9
용산구,외국인/관광/개발,조경/녹지관리,2,131967510.0,65983755.0,2026-03-12 21:28:21,0.009174311926605505,0.0003264431152150627,0.4225352112676056,8.92,데이터부족,12.5
노원구,주거/교육/대학,건설/공사,7,58090922000.0,8298703142.857142,2024-09-25 15:51:17,0.05504587155963303,0.16429401426403523,0.049668874172185434,8.67,제외,21.1
종로구,공공기관/전통상권/관광,시설유지보수,17,1426622400.0,83918964.70588236,2024-12-23 18:58:13,0.14678899082568808,0.003989059524658217,0.058252427184466014,8.62,추천,6.8
강서구,공항/산업단지/주거,급수/전기/설비,8,1356243554.0,169530444.25,2026-01-27 17:26:10,0.06422018348623854,0.0037899557185178227,0.2608695652173913,8.54,데이터부족,7.8
광진구,대학/강변/상업,시설유지보수,16,3828059000.0,239253687.5,2024-12-04 13:33:59,0.13761467889908258,0.010782793642788628,0.056179775280898875,8.33,추천,9.2
광진구,대학/강변/상업,차량/운송,1,60500000.0,60500000.0,2026-03-10 15:49:29,0.0,0.00012425944689551332,0.410958904109589,8.22,데이터부족,6.0
동대문구,전통시장/패션/대학,전문용역/컨설팅,13,3286480000.0,252806153.84615386,2025-09-12 16:26:16,0.11009174311926606,0.009250650870431885,0.11904761904761904,8.16,추천,14.2
금천구,제조/산업단지/중소기업,폐기물/환경,13,17137617720.0,1318278286.1538463,2024-12-20 12:33:11,0.11009174311926606,0.04843592309593519,0.05791505791505792,8.12,제외,8.7
